RecordID,Country,Gender,Employment,Question Type,Value
353,Angola,F,Unemployed,2,21.3
73,Angola,F,Employed for cash,3,16.1
73,Angola,F,Employed for kind,3,19.1
73,Angola,F,Unemployed,3,11.6
143,Angola,F,Employed for cash,4,15.2
143,Angola,F,Employed for kind,4,17.3
143,Angola,F,Unemployed,4,11.7
213,Angola,F,Employed for cash,5,16.7
213,Angola,F,Employed for kind,5,18.9
213,Angola,F,Unemployed,5,14.0
283,Angola,F,Employed for cash,6,12.4
283,Angola,F,Employed for kind,6,14.7
283,Angola,F,Unemployed,6,8.2
353,Angola,M,Employed for cash,2,19.7
353,Angola,M,Employed for kind,2,23.6
353,Angola,M,Unemployed,2,19.0
73,Angola,M,Employed for cash,3,10.9
73,Angola,M,Employed for kind,3,13.3
73,Angola,M,Unemployed,3,9.5
143,Angola,M,Employed for cash,4,8.2
143,Angola,M,Employed for kind,4,9.2
143,Angola,M,Unemployed,4,7.7
213,Angola,M,Employed for cash,5,11.3
213,Angola,M,Employed for kind,5,13.8
213,Angola,M,Unemployed,5,11.1
283,Angola,M,Employed for cash,6,5.2
283,Angola,M,Employed for kind,6,7.3
283,Angola,M,Unemployed,6,5.4
4,Armenia,F,Unemployed,1,0.2
4,Armenia,F,Employed for kind,1,0.3
4,Armenia,F,Employed for cash,1,0.6
4,Armenia,M,Employed for cash,1,0.6
4,Armenia,M,Unemployed,1,0.7
4,Armenia,M,Employed for kind,1,1.0
354,Armenia,F,Employed for cash,2,9.1
354,Armenia,F,Employed for kind,2,26.2
354,Armenia,F,Unemployed,2,9.1
74,Armenia,F,Employed for cash,3,6.1
74,Armenia,F,Employed for kind,3,16.0
74,Armenia,F,Unemployed,3,5.2
144,Armenia,F,Employed for cash,4,4.6
144,Armenia,F,Employed for kind,4,19.8
144,Armenia,F,Unemployed,4,4.2
214,Armenia,F,Employed for cash,5,7.6
214,Armenia,F,Employed for kind,5,24.4
214,Armenia,F,Unemployed,5,7.6
284,Armenia,F,Employed for cash,6,1.1
284,Armenia,F,Employed for kind,6,0.6
284,Armenia,F,Unemployed,6,0.6
354,Armenia,M,Employed for cash,2,22.2
354,Armenia,M,Employed for kind,2,47.0
354,Armenia,M,Unemployed,2,20.7
74,Armenia,M,Employed for cash,3,17.0
74,Armenia,M,Employed for kind,3,31.7
74,Armenia,M,Unemployed,3,12.2
144,Armenia,M,Employed for cash,4,12.3
144,Armenia,M,Employed for kind,4,26.3
144,Armenia,M,Unemployed,4,8.7
214,Armenia,M,Employed for cash,5,17.0
214,Armenia,M,Employed for kind,5,31.5
214,Armenia,M,Unemployed,5,16.0
284,Armenia,M,Employed for cash,6,1.5
284,Armenia,M,Employed for kind,6,6.0
284,Armenia,M,Unemployed,6,1.5
5,Azerbaijan,F,Employed for cash,1,9.1
5,Azerbaijan,F,Unemployed,1,12.6
5,Azerbaijan,F,Employed for kind,1,21.9
5,Azerbaijan,M,Employed for kind,1,3.7
5,Azerbaijan,M,Employed for cash,1,6.6
5,Azerbaijan,M,Unemployed,1,8.6
355,Azerbaijan,F,Employed for cash,2,42.2
355,Azerbaijan,F,Employed for kind,2,63.9
355,Azerbaijan,F,Unemployed,2,50.2
75,Azerbaijan,F,Employed for cash,3,25.2
75,Azerbaijan,F,Employed for kind,3,43.1
75,Azerbaijan,F,Unemployed,3,32.4
145,Azerbaijan,F,Employed for cash,4,35.0
145,Azerbaijan,F,Employed for kind,4,59.2
145,Azerbaijan,F,Unemployed,4,43.9
215,Azerbaijan,F,Employed for cash,5,27.7
215,Azerbaijan,F,Employed for kind,5,50.0
215,Azerbaijan,F,Unemployed,5,35.8
285,Azerbaijan,F,Employed for cash,6,10.8
285,Azerbaijan,F,Employed for kind,6,23.4
285,Azerbaijan,F,Unemployed,6,14.8
355,Azerbaijan,M,Employed for cash,2,59.4
355,Azerbaijan,M,Employed for kind,2,45.3
355,Azerbaijan,M,Unemployed,2,58.5
75,Azerbaijan,M,Employed for cash,3,53.4
75,Azerbaijan,M,Employed for kind,3,42.5
75,Azerbaijan,M,Unemployed,3,49.5
145,Azerbaijan,M,Employed for cash,4,41.3
145,Azerbaijan,M,Employed for kind,4,29.5
145,Azerbaijan,M,Unemployed,4,39.2
215,Azerbaijan,M,Employed for cash,5,35.2
215,Azerbaijan,M,Employed for kind,5,32.0
215,Azerbaijan,M,Unemployed,5,33.7
285,Azerbaijan,M,Employed for cash,6,11.7
285,Azerbaijan,M,Employed for kind,6,4.6
285,Azerbaijan,M,Unemployed,6,12.8
6,Bangladesh,F,Unemployed,1,4.1
6,Bangladesh,F,Employed for cash,1,4.7
6,Bangladesh,F,Employed for kind,1,5.3
6,Bangladesh,M,Employed for cash,1,0.0
6,Bangladesh,M,Employed for kind,1,0.0
6,Bangladesh,M,Unemployed,1,0.0
356,Bangladesh,F,Employed for cash,2,28.8
356,Bangladesh,F,Employed for kind,2,29.2
356,Bangladesh,F,Unemployed,2,28.0
76,Bangladesh,F,Employed for cash,3,20.6
76,Bangladesh,F,Employed for kind,3,21.4
76,Bangladesh,F,Unemployed,3,19.5
146,Bangladesh,F,Employed for cash,4,14.9
146,Bangladesh,F,Employed for kind,4,15.3
146,Bangladesh,F,Unemployed,4,14.2
216,Bangladesh,F,Employed for cash,5,15.6
216,Bangladesh,F,Employed for kind,5,16.5
216,Bangladesh,F,Unemployed,5,14.5
286,Bangladesh,F,Employed for cash,6,8.0
286,Bangladesh,F,Employed for kind,6,8.2
286,Bangladesh,F,Unemployed,6,6.7
356,Bangladesh,M,Employed for cash,2,0.0
356,Bangladesh,M,Employed for kind,2,0.0
356,Bangladesh,M,Unemployed,2,0.0
76,Bangladesh,M,Employed for cash,3,0.0
76,Bangladesh,M,Employed for kind,3,0.0
76,Bangladesh,M,Unemployed,3,0.0
146,Bangladesh,M,Employed for cash,4,0.0
146,Bangladesh,M,Employed for kind,4,0.0
146,Bangladesh,M,Unemployed,4,0.0
216,Bangladesh,M,Employed for cash,5,0.0
216,Bangladesh,M,Employed for kind,5,0.0
216,Bangladesh,M,Unemployed,5,0.0
286,Bangladesh,M,Employed for cash,6,0.0
286,Bangladesh,M,Employed for kind,6,0.0
286,Bangladesh,M,Unemployed,6,0.0
7,Benin,F,Unemployed,1,11.7
7,Benin,F,Employed for kind,1,14.4
7,Benin,F,Employed for cash,1,14.6
7,Benin,M,Unemployed,1,4.4
7,Benin,M,Employed for cash,1,6.6
7,Benin,M,Employed for kind,1,11.0
357,Benin,F,Employed for cash,2,33.1
357,Benin,F,Employed for kind,2,30.6
357,Benin,F,Unemployed,2,29.3
77,Benin,F,Employed for cash,3,21.5
77,Benin,F,Employed for kind,3,19.6
77,Benin,F,Unemployed,3,19.9
147,Benin,F,Employed for cash,4,22.6
147,Benin,F,Employed for kind,4,17.1
147,Benin,F,Unemployed,4,20.7
217,Benin,F,Employed for cash,5,23.5
217,Benin,F,Employed for kind,5,21.8
217,Benin,F,Unemployed,5,20.8
287,Benin,F,Employed for cash,6,12.9
287,Benin,F,Employed for kind,6,11.1
287,Benin,F,Unemployed,6,13.5
357,Benin,M,Employed for cash,2,15.2
357,Benin,M,Employed for kind,2,23.4
357,Benin,M,Unemployed,2,10.1
77,Benin,M,Employed for cash,3,9.8
77,Benin,M,Employed for kind,3,12.6
77,Benin,M,Unemployed,3,6.2
147,Benin,M,Employed for cash,4,8.7
147,Benin,M,Employed for kind,4,13.0
147,Benin,M,Unemployed,4,5.7
217,Benin,M,Employed for cash,5,9.1
217,Benin,M,Employed for kind,5,14.3
217,Benin,M,Unemployed,5,6.2
287,Benin,M,Employed for cash,6,7.2
287,Benin,M,Employed for kind,6,9.3
287,Benin,M,Unemployed,6,3.8
8,Bolivia,F,Unemployed,1,2.6
8,Bolivia,F,Employed for cash,1,3.2
8,Bolivia,F,Employed for kind,1,4.9
8,Bolivia,M,Employed for cash,1,0.0
8,Bolivia,M,Employed for kind,1,0.0
8,Bolivia,M,Unemployed,1,0.0
358,Bolivia,F,Employed for cash,2,16.1
358,Bolivia,F,Employed for kind,2,19.4
358,Bolivia,F,Unemployed,2,14.4
78,Bolivia,F,Employed for cash,3,5.1
78,Bolivia,F,Employed for kind,3,7.5
78,Bolivia,F,Unemployed,3,4.4
148,Bolivia,F,Employed for cash,4,5.9
148,Bolivia,F,Employed for kind,4,8.7
148,Bolivia,F,Unemployed,4,4.6
218,Bolivia,F,Employed for cash,5,12.2
218,Bolivia,F,Employed for kind,5,14.0
218,Bolivia,F,Unemployed,5,11.5
288,Bolivia,F,Employed for cash,6,2.3
288,Bolivia,F,Employed for kind,6,3.2
288,Bolivia,F,Unemployed,6,1.7
358,Bolivia,M,Employed for cash,2,0.0
358,Bolivia,M,Employed for kind,2,0.0
358,Bolivia,M,Unemployed,2,0.0
78,Bolivia,M,Employed for cash,3,0.0
78,Bolivia,M,Employed for kind,3,0.0
78,Bolivia,M,Unemployed,3,0.0
148,Bolivia,M,Employed for cash,4,0.0
148,Bolivia,M,Employed for kind,4,0.0
148,Bolivia,M,Unemployed,4,0.0
218,Bolivia,M,Employed for cash,5,0.0
218,Bolivia,M,Employed for kind,5,0.0
218,Bolivia,M,Unemployed,5,0.0
288,Bolivia,M,Employed for cash,6,0.0
288,Bolivia,M,Employed for kind,6,0.0
288,Bolivia,M,Unemployed,6,0.0
9,Burkina Faso,F,Employed for kind,1,8.5
9,Burkina Faso,F,Employed for cash,1,10.0
9,Burkina Faso,F,Unemployed,1,12.1
9,Burkina Faso,M,Unemployed,1,5.5
9,Burkina Faso,M,Employed for cash,1,6.1
9,Burkina Faso,M,Employed for kind,1,9.2
359,Burkina Faso,F,Employed for cash,2,40.6
359,Burkina Faso,F,Employed for kind,2,45.8
359,Burkina Faso,F,Unemployed,2,43.8
79,Burkina Faso,F,Employed for cash,3,29.5
79,Burkina Faso,F,Employed for kind,3,30.6
79,Burkina Faso,F,Unemployed,3,33.8
149,Burkina Faso,F,Employed for cash,4,27.9
149,Burkina Faso,F,Employed for kind,4,31.6
149,Burkina Faso,F,Unemployed,4,31.9
219,Burkina Faso,F,Employed for cash,5,28.8
219,Burkina Faso,F,Employed for kind,5,31.1
219,Burkina Faso,F,Unemployed,5,31.8
289,Burkina Faso,F,Employed for cash,6,16.1
289,Burkina Faso,F,Employed for kind,6,18.9
289,Burkina Faso,F,Unemployed,6,27.7
359,Burkina Faso,M,Employed for cash,2,27.0
359,Burkina Faso,M,Employed for kind,2,44.0
359,Burkina Faso,M,Unemployed,2,22.8
79,Burkina Faso,M,Employed for cash,3,15.3
79,Burkina Faso,M,Employed for kind,3,27.0
79,Burkina Faso,M,Unemployed,3,8.6
149,Burkina Faso,M,Employed for cash,4,13.3
149,Burkina Faso,M,Employed for kind,4,24.1
149,Burkina Faso,M,Unemployed,4,7.5
219,Burkina Faso,M,Employed for cash,5,16.7
219,Burkina Faso,M,Employed for kind,5,24.8
219,Burkina Faso,M,Unemployed,5,14.6
289,Burkina Faso,M,Employed for cash,6,9.1
289,Burkina Faso,M,Employed for kind,6,13.5
289,Burkina Faso,M,Unemployed,6,6.7
10,Burundi,F,Unemployed,1,14.5
10,Burundi,F,Employed for cash,1,22.6
10,Burundi,F,Employed for kind,1,23.9
10,Burundi,M,Employed for cash,1,3.8
10,Burundi,M,Unemployed,1,5.5
10,Burundi,M,Employed for kind,1,6.5
360,Burundi,F,Employed for cash,2,64.1
360,Burundi,F,Employed for kind,2,63.0
360,Burundi,F,Unemployed,2,52.0
80,Burundi,F,Employed for cash,3,29.5
80,Burundi,F,Employed for kind,3,33.3
80,Burundi,F,Unemployed,3,21.5
150,Burundi,F,Employed for cash,4,40.9
150,Burundi,F,Employed for kind,4,40.7
150,Burundi,F,Unemployed,4,30.1
220,Burundi,F,Employed for cash,5,53.8
220,Burundi,F,Employed for kind,5,52.5
220,Burundi,F,Unemployed,5,44.0
290,Burundi,F,Employed for cash,6,44.1
290,Burundi,F,Employed for kind,6,43.9
290,Burundi,F,Unemployed,6,29.3
360,Burundi,M,Employed for cash,2,33.1
360,Burundi,M,Employed for kind,2,36.4
360,Burundi,M,Unemployed,2,41.9
80,Burundi,M,Employed for cash,3,9.8
80,Burundi,M,Employed for kind,3,10.7
80,Burundi,M,Unemployed,3,10.8
150,Burundi,M,Employed for cash,4,16.8
150,Burundi,M,Employed for kind,4,17.1
150,Burundi,M,Unemployed,4,21.2
220,Burundi,M,Employed for cash,5,24.5
220,Burundi,M,Employed for kind,5,27.3
220,Burundi,M,Unemployed,5,32.7
290,Burundi,M,Employed for cash,6,12.6
290,Burundi,M,Employed for kind,6,13.5
290,Burundi,M,Unemployed,6,20.6
11,Cambodia,F,Unemployed,1,11.4
11,Cambodia,F,Employed for cash,1,11.8
11,Cambodia,F,Employed for kind,1,11.9
11,Cambodia,M,Employed for cash,1,1.8
11,Cambodia,M,Employed for kind,1,1.9
11,Cambodia,M,Unemployed,1,2.1
361,Cambodia,F,Employed for cash,2,49.7
361,Cambodia,F,Employed for kind,2,58.0
361,Cambodia,F,Unemployed,2,47.5
81,Cambodia,F,Employed for cash,3,24.4
81,Cambodia,F,Employed for kind,3,24.9
81,Cambodia,F,Unemployed,3,21.5
151,Cambodia,F,Employed for cash,4,32.1
151,Cambodia,F,Employed for kind,4,33.3
151,Cambodia,F,Unemployed,4,28.0
221,Cambodia,F,Employed for cash,5,43.5
221,Cambodia,F,Employed for kind,5,51.2
221,Cambodia,F,Unemployed,5,41.7
291,Cambodia,F,Employed for cash,6,13.1
291,Cambodia,F,Employed for kind,6,15.6
291,Cambodia,F,Unemployed,6,10.8
361,Cambodia,M,Employed for cash,2,26.8
361,Cambodia,M,Employed for kind,2,27.5
361,Cambodia,M,Unemployed,2,16.3
81,Cambodia,M,Employed for cash,3,11.8
81,Cambodia,M,Employed for kind,3,9.3
81,Cambodia,M,Unemployed,3,5.9
151,Cambodia,M,Employed for cash,4,12.9
151,Cambodia,M,Employed for kind,4,13.9
151,Cambodia,M,Unemployed,4,5.7
221,Cambodia,M,Employed for cash,5,19.4
221,Cambodia,M,Employed for kind,5,22.8
221,Cambodia,M,Unemployed,5,12.1
291,Cambodia,M,Employed for cash,6,3.8
291,Cambodia,M,Employed for kind,6,5.4
291,Cambodia,M,Unemployed,6,3.0
12,Cameroon,F,Unemployed,1,12.5
12,Cameroon,F,Employed for cash,1,13.9
12,Cameroon,F,Employed for kind,1,15.3
12,Cameroon,M,Unemployed,1,6.6
12,Cameroon,M,Employed for kind,1,8.2
12,Cameroon,M,Employed for cash,1,9.4
362,Cameroon,F,Employed for cash,2,47.0
362,Cameroon,F,Employed for kind,2,48.7
362,Cameroon,F,Unemployed,2,44.7
82,Cameroon,F,Employed for cash,3,21.6
82,Cameroon,F,Employed for kind,3,22.3
82,Cameroon,F,Unemployed,3,18.7
152,Cameroon,F,Employed for cash,4,27.6
152,Cameroon,F,Employed for kind,4,28.9
152,Cameroon,F,Unemployed,4,23.8
222,Cameroon,F,Employed for cash,5,38.4
222,Cameroon,F,Employed for kind,5,38.3
222,Cameroon,F,Unemployed,5,35.4
292,Cameroon,F,Employed for cash,6,15.0
292,Cameroon,F,Employed for kind,6,13.8
292,Cameroon,F,Unemployed,6,12.6
362,Cameroon,M,Employed for cash,2,39.2
362,Cameroon,M,Employed for kind,2,36.6
362,Cameroon,M,Unemployed,2,36.6
82,Cameroon,M,Employed for cash,3,18.0
82,Cameroon,M,Employed for kind,3,19.2
82,Cameroon,M,Unemployed,3,13.9
152,Cameroon,M,Employed for cash,4,21.9
152,Cameroon,M,Employed for kind,4,16.7
152,Cameroon,M,Unemployed,4,19.7
222,Cameroon,M,Employed for cash,5,29.1
222,Cameroon,M,Employed for kind,5,28.0
222,Cameroon,M,Unemployed,5,28.2
292,Cameroon,M,Employed for cash,6,7.9
292,Cameroon,M,Employed for kind,6,8.1
292,Cameroon,M,Unemployed,6,6.1
13,Chad,F,Unemployed,1,42.3
13,Chad,F,Employed for kind,1,49.4
13,Chad,F,Employed for cash,1,56.7
13,Chad,M,Unemployed,1,24.3
13,Chad,M,Employed for cash,1,25.6
13,Chad,M,Employed for kind,1,31.5
363,Chad,F,Employed for cash,2,79.6
363,Chad,F,Employed for kind,2,70.7
363,Chad,F,Unemployed,2,70.0
83,Chad,F,Employed for cash,3,56.6
83,Chad,F,Employed for kind,3,48.8
83,Chad,F,Unemployed,3,45.1
153,Chad,F,Employed for cash,4,65.5
153,Chad,F,Employed for kind,4,60.6
153,Chad,F,Unemployed,4,53.8
223,Chad,F,Employed for cash,5,67.0
223,Chad,F,Employed for kind,5,60.7
223,Chad,F,Unemployed,5,54.2
293,Chad,F,Employed for cash,6,45.7
293,Chad,F,Employed for kind,6,40.1
293,Chad,F,Unemployed,6,37.0
363,Chad,M,Employed for cash,2,51.9
363,Chad,M,Employed for kind,2,48.2
363,Chad,M,Unemployed,2,51.8
83,Chad,M,Employed for cash,3,20.1
83,Chad,M,Employed for kind,3,23.9
83,Chad,M,Unemployed,3,26.5
153,Chad,M,Employed for cash,4,26.9
153,Chad,M,Employed for kind,4,29.1
153,Chad,M,Unemployed,4,30.3
223,Chad,M,Employed for cash,5,39.6
223,Chad,M,Employed for kind,5,33.2
223,Chad,M,Unemployed,5,37.7
293,Chad,M,Employed for cash,6,23.7
293,Chad,M,Employed for kind,6,24.2
293,Chad,M,Unemployed,6,22.9
14,Colombia,F,Employed for cash,1,1.1
14,Colombia,F,Unemployed,1,1.3
14,Colombia,F,Employed for kind,1,1.9
14,Colombia,M,Employed for cash,1,1.1
14,Colombia,M,Employed for kind,1,1.4
14,Colombia,M,Unemployed,1,1.7
364,Colombia,F,Employed for cash,2,2.7
364,Colombia,F,Employed for kind,2,5.5
364,Colombia,F,Unemployed,2,3.9
84,Colombia,F,Employed for cash,3,1.1
84,Colombia,F,Employed for kind,3,2.0
84,Colombia,F,Unemployed,3,1.5
154,Colombia,F,Employed for cash,4,1.1
154,Colombia,F,Employed for kind,4,2.4
154,Colombia,F,Unemployed,4,1.4
224,Colombia,F,Employed for cash,5,2.1
224,Colombia,F,Employed for kind,5,4.4
224,Colombia,F,Unemployed,5,2.9
294,Colombia,F,Employed for cash,6,1.0
294,Colombia,F,Employed for kind,6,2.0
294,Colombia,F,Unemployed,6,1.1
364,Colombia,M,Employed for cash,2,4.1
364,Colombia,M,Employed for kind,2,7.5
364,Colombia,M,Unemployed,2,4.2
84,Colombia,M,Employed for cash,3,1.4
84,Colombia,M,Employed for kind,3,2.0
84,Colombia,M,Unemployed,3,1.7
154,Colombia,M,Employed for cash,4,1.4
154,Colombia,M,Employed for kind,4,2.3
154,Colombia,M,Unemployed,4,1.5
224,Colombia,M,Employed for cash,5,3.0
224,Colombia,M,Employed for kind,5,4.1
224,Colombia,M,Unemployed,5,2.8
294,Colombia,M,Employed for cash,6,1.2
294,Colombia,M,Employed for kind,6,3.3
294,Colombia,M,Unemployed,6,1.8
15,Comoros,F,Employed for cash,1,11.1
15,Comoros,F,Unemployed,1,12.1
15,Comoros,F,Employed for kind,1,18.3
15,Comoros,M,Unemployed,1,1.8
15,Comoros,M,Employed for cash,1,2.7
15,Comoros,M,Employed for kind,1,5.5
365,Comoros,F,Employed for cash,2,39.7
365,Comoros,F,Employed for kind,2,49.7
365,Comoros,F,Unemployed,2,36.0
85,Comoros,F,Employed for cash,3,15.2
85,Comoros,F,Employed for kind,3,17.2
85,Comoros,F,Unemployed,3,15.5
155,Comoros,F,Employed for cash,4,30.1
155,Comoros,F,Employed for kind,4,34.0
155,Comoros,F,Unemployed,4,26.1
225,Comoros,F,Employed for cash,5,30.9
225,Comoros,F,Employed for kind,5,37.5
225,Comoros,F,Unemployed,5,27.2
295,Comoros,F,Employed for cash,6,20.7
295,Comoros,F,Employed for kind,6,27.5
295,Comoros,F,Unemployed,6,17.8
365,Comoros,M,Employed for cash,2,12.3
365,Comoros,M,Employed for kind,2,23.8
365,Comoros,M,Unemployed,2,22.7
85,Comoros,M,Employed for cash,3,3.2
85,Comoros,M,Employed for kind,3,11.3
85,Comoros,M,Unemployed,3,10.9
155,Comoros,M,Employed for cash,4,5.0
155,Comoros,M,Employed for kind,4,11.5
155,Comoros,M,Unemployed,4,7.1
225,Comoros,M,Employed for cash,5,5.3
225,Comoros,M,Employed for kind,5,12.0
225,Comoros,M,Unemployed,5,10.3
295,Comoros,M,Employed for cash,6,6.8
295,Comoros,M,Employed for kind,6,8.2
295,Comoros,M,Unemployed,6,10.4
16,Congo,F,Employed for cash,1,0.0
16,Congo,F,Employed for kind,1,0.0
16,Congo,F,Unemployed,1,0.0
16,Congo,M,Employed for cash,1,0.0
16,Congo,M,Employed for kind,1,0.0
16,Congo,M,Unemployed,1,0.0
366,Congo,F,Employed for cash,2,59.9
366,Congo,F,Employed for kind,2,68.9
366,Congo,F,Unemployed,2,60.5
86,Congo,F,Employed for cash,3,0.0
86,Congo,F,Employed for kind,3,0.0
86,Congo,F,Unemployed,3,0.0
156,Congo,F,Employed for cash,4,40.8
156,Congo,F,Employed for kind,4,50.0
156,Congo,F,Unemployed,4,39.1
226,Congo,F,Employed for cash,5,46.3
226,Congo,F,Employed for kind,5,52.8
226,Congo,F,Unemployed,5,46.5
296,Congo,F,Employed for cash,6,27.3
296,Congo,F,Employed for kind,6,32.1
296,Congo,F,Unemployed,6,23.4
366,Congo,M,Employed for cash,2,41.9
366,Congo,M,Employed for kind,2,29.6
366,Congo,M,Unemployed,2,49.6
86,Congo,M,Employed for cash,3,0.0
86,Congo,M,Employed for kind,3,0.0
86,Congo,M,Unemployed,3,0.0
156,Congo,M,Employed for cash,4,21.7
156,Congo,M,Employed for kind,4,15.4
156,Congo,M,Unemployed,4,25.7
226,Congo,M,Employed for cash,5,30.4
226,Congo,M,Employed for kind,5,18.8
226,Congo,M,Unemployed,5,36.7
296,Congo,M,Employed for cash,6,12.8
296,Congo,M,Employed for kind,6,7.8
296,Congo,M,Unemployed,6,15.8
17,Congo Democratic Republic,F,Employed for kind,1,21.2
17,Congo Democratic Republic,F,Unemployed,1,22.9
17,Congo Democratic Republic,F,Employed for cash,1,25.7
17,Congo Democratic Republic,M,Employed for kind,1,12.3
17,Congo Democratic Republic,M,Employed for cash,1,14.2
17,Congo Democratic Republic,M,Unemployed,1,19.9
367,Congo Democratic Republic,F,Employed for cash,2,77.1
367,Congo Democratic Republic,F,Employed for kind,2,69.6
367,Congo Democratic Republic,F,Unemployed,2,72.0
87,Congo Democratic Republic,F,Employed for cash,3,60.2
87,Congo Democratic Republic,F,Employed for kind,3,52.1
87,Congo Democratic Republic,F,Unemployed,3,54.6
157,Congo Democratic Republic,F,Employed for cash,4,51.4
157,Congo Democratic Republic,F,Employed for kind,4,43.2
157,Congo Democratic Republic,F,Unemployed,4,46.7
227,Congo Democratic Republic,F,Employed for cash,5,54.2
227,Congo Democratic Republic,F,Employed for kind,5,40.6
227,Congo Democratic Republic,F,Unemployed,5,49.9
297,Congo Democratic Republic,F,Employed for cash,6,46.1
297,Congo Democratic Republic,F,Employed for kind,6,44.3
297,Congo Democratic Republic,F,Unemployed,6,37.4
367,Congo Democratic Republic,M,Employed for cash,2,59.6
367,Congo Democratic Republic,M,Employed for kind,2,57.6
367,Congo Democratic Republic,M,Unemployed,2,67.8
87,Congo Democratic Republic,M,Employed for cash,3,42.0
87,Congo Democratic Republic,M,Employed for kind,3,36.1
87,Congo Democratic Republic,M,Unemployed,3,45.6
157,Congo Democratic Republic,M,Employed for cash,4,31.6
157,Congo Democratic Republic,M,Employed for kind,4,30.0
157,Congo Democratic Republic,M,Unemployed,4,37.4
227,Congo Democratic Republic,M,Employed for cash,5,38.9
227,Congo Democratic Republic,M,Employed for kind,5,36.5
227,Congo Democratic Republic,M,Unemployed,5,46.3
297,Congo Democratic Republic,M,Employed for cash,6,22.9
297,Congo Democratic Republic,M,Employed for kind,6,20.1
297,Congo Democratic Republic,M,Unemployed,6,26.4
18,Cote d'Ivoire,F,Unemployed,1,15.7
18,Cote d'Ivoire,F,Employed for cash,1,16.4
18,Cote d'Ivoire,F,Employed for kind,1,17.3
18,Cote d'Ivoire,M,Employed for cash,1,11.5
18,Cote d'Ivoire,M,Employed for kind,1,13.9
18,Cote d'Ivoire,M,Unemployed,1,16.4
