RecordID,Country,Gender,Education,Question Type,Value
212,Albania,F,No education,5,21.1
212,Albania,F,Primary,5,8.6
212,Albania,F,Secondary,5,4.2
282,Albania,F,Higher,6,0.1
282,Albania,F,No education,6,6.3
282,Albania,F,Primary,6,1.5
282,Albania,F,Secondary,6,0.6
352,Albania,M,Higher,2,5.4
352,Albania,M,No education,2,26.6
352,Albania,M,Primary,2,14.6
352,Albania,M,Secondary,2,11.2
72,Albania,M,Higher,3,2.2
72,Albania,M,No education,3,15.3
72,Albania,M,Primary,3,5.9
72,Albania,M,Secondary,3,3.2
142,Albania,M,Higher,4,2.7
142,Albania,M,No education,4,25.4
142,Albania,M,Primary,4,9.0
142,Albania,M,Secondary,4,5.9
212,Albania,M,Higher,5,3.8
212,Albania,M,No education,5,22.3
212,Albania,M,Primary,5,9.6
212,Albania,M,Secondary,5,8.4
282,Albania,M,Higher,6,0.7
282,Albania,M,No education,6,13.8
282,Albania,M,Primary,6,3.1
282,Albania,M,Secondary,6,1.7
3,Angola,F,Higher,1,0.9
3,Angola,F,Secondary,1,5.3
3,Angola,F,Primary,1,13.4
3,Angola,F,No education,1,17.3
3,Angola,M,Higher,1,0.7
3,Angola,M,Secondary,1,5.0
3,Angola,M,Primary,1,8.1
3,Angola,M,No education,1,10.8
353,Angola,F,Higher,2,7.0
353,Angola,F,No education,2,34.5
353,Angola,F,Primary,2,30.9
353,Angola,F,Secondary,2,16.8
73,Angola,F,Higher,3,3.0
73,Angola,F,No education,3,23.9
73,Angola,F,Primary,3,19.1
73,Angola,F,Secondary,3,8.2
143,Angola,F,Higher,4,2.8
143,Angola,F,No education,4,21.0
143,Angola,F,Primary,4,18.5
143,Angola,F,Secondary,4,8.5
213,Angola,F,Higher,5,4.2
213,Angola,F,No education,5,22.3
213,Angola,F,Primary,5,20.1
213,Angola,F,Secondary,5,10.8
283,Angola,F,Higher,6,2.5
283,Angola,F,No education,6,19.9
283,Angola,F,Primary,6,14.2
283,Angola,F,Secondary,6,5.3
353,Angola,M,Higher,2,3.9
353,Angola,M,No education,2,26.7
353,Angola,M,Primary,2,26.2
353,Angola,M,Secondary,2,18.1
73,Angola,M,Higher,3,1.6
73,Angola,M,No education,3,15.9
73,Angola,M,Primary,3,14.9
73,Angola,M,Secondary,3,9.2
143,Angola,M,Higher,4,1.6
143,Angola,M,No education,4,13.4
143,Angola,M,Primary,4,11.2
143,Angola,M,Secondary,4,6.8
213,Angola,M,Higher,5,1.8
213,Angola,M,No education,5,18.3
213,Angola,M,Primary,5,17.1
213,Angola,M,Secondary,5,9.1
283,Angola,M,Higher,6,0.6
283,Angola,M,No education,6,11.2
283,Angola,M,Primary,6,7.6
283,Angola,M,Secondary,6,4.4
4,Armenia,F,No education,1,0.0
4,Armenia,F,Higher,1,0.0
4,Armenia,F,Primary,1,0.1
4,Armenia,F,Secondary,1,0.9
4,Armenia,M,No education,1,0.0
4,Armenia,M,Higher,1,0.6
4,Armenia,M,Secondary,1,0.6
4,Armenia,M,Primary,1,1.0
354,Armenia,F,Higher,2,6.6
354,Armenia,F,No education,2,0.0
354,Armenia,F,Primary,2,12.0
354,Armenia,F,Secondary,2,14.4
74,Armenia,F,Higher,3,3.9
74,Armenia,F,No education,3,0.0
74,Armenia,F,Primary,3,5.3
74,Armenia,F,Secondary,3,9.2
144,Armenia,F,Higher,4,2.7
144,Armenia,F,No education,4,0.0
144,Armenia,F,Primary,4,5.4
144,Armenia,F,Secondary,4,8.7
214,Armenia,F,Higher,5,5.5
214,Armenia,F,No education,5,0.0
214,Armenia,F,Primary,5,9.4
214,Armenia,F,Secondary,5,12.6
284,Armenia,F,Higher,6,0.3
284,Armenia,F,No education,6,0.0
284,Armenia,F,Primary,6,1.5
284,Armenia,F,Secondary,6,1.2
354,Armenia,M,Higher,2,14.4
354,Armenia,M,No education,2,0.0
354,Armenia,M,Primary,2,30.3
354,Armenia,M,Secondary,2,27.9
74,Armenia,M,Higher,3,9.9
74,Armenia,M,No education,3,0.0
74,Armenia,M,Primary,3,22.0
74,Armenia,M,Secondary,3,20.2
144,Armenia,M,Higher,4,6.1
144,Armenia,M,No education,4,0.0
144,Armenia,M,Primary,4,13.6
144,Armenia,M,Secondary,4,16.3
214,Armenia,M,Higher,5,10.9
214,Armenia,M,No education,5,0.0
214,Armenia,M,Primary,5,17.8
214,Armenia,M,Secondary,5,22.8
284,Armenia,M,Higher,6,0.8
284,Armenia,M,No education,6,0.0
284,Armenia,M,Primary,6,2.4
284,Armenia,M,Secondary,6,2.2
5,Azerbaijan,F,Higher,1,1.5
5,Azerbaijan,F,Secondary,1,13.3
5,Azerbaijan,F,Primary,1,25.5
5,Azerbaijan,F,No education,1,33.0
5,Azerbaijan,M,No education,1,0.0
5,Azerbaijan,M,Primary,1,0.0
5,Azerbaijan,M,Higher,1,3.5
5,Azerbaijan,M,Secondary,1,7.8
355,Azerbaijan,F,Higher,2,22.5
355,Azerbaijan,F,No education,2,74.3
355,Azerbaijan,F,Primary,2,63.1
355,Azerbaijan,F,Secondary,2,52.5
75,Azerbaijan,F,Higher,3,11.2
75,Azerbaijan,F,No education,3,55.2
75,Azerbaijan,F,Primary,3,43.6
75,Azerbaijan,F,Secondary,3,33.9
145,Azerbaijan,F,Higher,4,17.2
145,Azerbaijan,F,No education,4,68.5
145,Azerbaijan,F,Primary,4,58.3
145,Azerbaijan,F,Secondary,4,45.8
215,Azerbaijan,F,Higher,5,11.6
215,Azerbaijan,F,No education,5,64.7
215,Azerbaijan,F,Primary,5,47.6
215,Azerbaijan,F,Secondary,5,37.6
285,Azerbaijan,F,Higher,6,2.8
285,Azerbaijan,F,No education,6,37.4
285,Azerbaijan,F,Primary,6,26.0
285,Azerbaijan,F,Secondary,6,15.5
355,Azerbaijan,M,Higher,2,52.5
355,Azerbaijan,M,No education,2,0.0
355,Azerbaijan,M,Primary,2,0.0
355,Azerbaijan,M,Secondary,2,59.9
75,Azerbaijan,M,Higher,3,47.5
75,Azerbaijan,M,No education,3,0.0
75,Azerbaijan,M,Primary,3,0.0
75,Azerbaijan,M,Secondary,3,52.8
145,Azerbaijan,M,Higher,4,31.1
145,Azerbaijan,M,No education,4,0.0
145,Azerbaijan,M,Primary,4,0.0
145,Azerbaijan,M,Secondary,4,42.2
215,Azerbaijan,M,Higher,5,17.0
215,Azerbaijan,M,No education,5,0.0
215,Azerbaijan,M,Primary,5,0.0
215,Azerbaijan,M,Secondary,5,38.8
285,Azerbaijan,M,Higher,6,5.2
285,Azerbaijan,M,No education,6,0.0
285,Azerbaijan,M,Primary,6,0.0
285,Azerbaijan,M,Secondary,6,13.2
6,Bangladesh,F,Higher,1,0.8
6,Bangladesh,F,Secondary,1,2.7
6,Bangladesh,F,Primary,1,5.4
6,Bangladesh,F,No education,1,6.8
6,Bangladesh,M,Higher,1,0.0
6,Bangladesh,M,No education,1,0.0
6,Bangladesh,M,Primary,1,0.0
6,Bangladesh,M,Secondary,1,0.0
356,Bangladesh,F,Higher,2,13.4
356,Bangladesh,F,No education,2,33.0
356,Bangladesh,F,Primary,2,31.7
356,Bangladesh,F,Secondary,2,25.8
76,Bangladesh,F,Higher,3,7.4
76,Bangladesh,F,No education,3,24.4
76,Bangladesh,F,Primary,3,22.3
76,Bangladesh,F,Secondary,3,17.9
146,Bangladesh,F,Higher,4,6.2
146,Bangladesh,F,No education,4,17.5
146,Bangladesh,F,Primary,4,17.3
146,Bangladesh,F,Secondary,4,12.0
216,Bangladesh,F,Higher,5,7.3
216,Bangladesh,F,No education,5,16.9
216,Bangladesh,F,Primary,5,17.2
216,Bangladesh,F,Secondary,5,13.5
286,Bangladesh,F,Higher,6,1.7
286,Bangladesh,F,No education,6,10.2
286,Bangladesh,F,Primary,6,8.9
286,Bangladesh,F,Secondary,6,5.1
356,Bangladesh,M,Higher,2,0.0
356,Bangladesh,M,No education,2,0.0
356,Bangladesh,M,Primary,2,0.0
356,Bangladesh,M,Secondary,2,0.0
76,Bangladesh,M,Higher,3,0.0
76,Bangladesh,M,No education,3,0.0
76,Bangladesh,M,Primary,3,0.0
76,Bangladesh,M,Secondary,3,0.0
146,Bangladesh,M,Higher,4,0.0
146,Bangladesh,M,No education,4,0.0
146,Bangladesh,M,Primary,4,0.0
146,Bangladesh,M,Secondary,4,0.0
216,Bangladesh,M,Higher,5,0.0
216,Bangladesh,M,No education,5,0.0
216,Bangladesh,M,Primary,5,0.0
216,Bangladesh,M,Secondary,5,0.0
286,Bangladesh,M,Higher,6,0.0
286,Bangladesh,M,No education,6,0.0
286,Bangladesh,M,Primary,6,0.0
286,Bangladesh,M,Secondary,6,0.0
7,Benin,F,Higher,1,1.0
7,Benin,F,Secondary,1,9.5
7,Benin,F,Primary,1,13.0
7,Benin,F,No education,1,16.5
7,Benin,M,Higher,1,1.1
7,Benin,M,Secondary,1,4.3
7,Benin,M,Primary,1,6.3
7,Benin,M,No education,1,10.7
357,Benin,F,Higher,2,4.7
357,Benin,F,No education,2,37.3
357,Benin,F,Primary,2,29.4
357,Benin,F,Secondary,2,23.2
77,Benin,F,Higher,3,3.0
77,Benin,F,No education,3,25.9
77,Benin,F,Primary,3,17.2
77,Benin,F,Secondary,3,13.4
147,Benin,F,Higher,4,2.4
147,Benin,F,No education,4,26.5
147,Benin,F,Primary,4,17.8
147,Benin,F,Secondary,4,13.2
217,Benin,F,Higher,5,2.8
217,Benin,F,No education,5,27.2
217,Benin,F,Primary,5,19.6
217,Benin,F,Secondary,5,16.0
287,Benin,F,Higher,6,1.4
287,Benin,F,No education,6,16.5
287,Benin,F,Primary,6,10.6
287,Benin,F,Secondary,6,6.5
357,Benin,M,Higher,2,3.6
357,Benin,M,No education,2,21.1
357,Benin,M,Primary,2,14.8
357,Benin,M,Secondary,2,12.5
77,Benin,M,Higher,3,1.7
77,Benin,M,No education,3,14.0
77,Benin,M,Primary,3,9.4
77,Benin,M,Secondary,3,7.0
147,Benin,M,Higher,4,1.2
147,Benin,M,No education,4,11.6
147,Benin,M,Primary,4,9.3
147,Benin,M,Secondary,4,7.1
217,Benin,M,Higher,5,0.8
217,Benin,M,No education,5,13.5
217,Benin,M,Primary,5,8.4
217,Benin,M,Secondary,5,7.2
287,Benin,M,Higher,6,0.7
287,Benin,M,No education,6,11.1
287,Benin,M,Primary,6,6.0
287,Benin,M,Secondary,6,4.6
8,Bolivia,F,Higher,1,0.6
8,Bolivia,F,Secondary,1,2.8
8,Bolivia,F,Primary,1,4.4
8,Bolivia,F,No education,1,7.3
8,Bolivia,M,Higher,1,0.0
8,Bolivia,M,No education,1,0.0
8,Bolivia,M,Primary,1,0.0
8,Bolivia,M,Secondary,1,0.0
358,Bolivia,F,Higher,2,5.7
358,Bolivia,F,No education,2,23.4
358,Bolivia,F,Primary,2,20.3
358,Bolivia,F,Secondary,2,15.3
78,Bolivia,F,Higher,3,1.7
78,Bolivia,F,No education,3,9.3
78,Bolivia,F,Primary,3,6.8
78,Bolivia,F,Secondary,3,4.6
148,Bolivia,F,Higher,4,1.9
148,Bolivia,F,No education,4,12.0
148,Bolivia,F,Primary,4,8.2
148,Bolivia,F,Secondary,4,4.6
218,Bolivia,F,Higher,5,4.5
218,Bolivia,F,No education,5,15.9
218,Bolivia,F,Primary,5,15.2
218,Bolivia,F,Secondary,5,12.2
288,Bolivia,F,Higher,6,0.8
288,Bolivia,F,No education,6,4.6
288,Bolivia,F,Primary,6,3.2
288,Bolivia,F,Secondary,6,1.6
358,Bolivia,M,Higher,2,0.0
358,Bolivia,M,No education,2,0.0
358,Bolivia,M,Primary,2,0.0
358,Bolivia,M,Secondary,2,0.0
78,Bolivia,M,Higher,3,0.0
78,Bolivia,M,No education,3,0.0
78,Bolivia,M,Primary,3,0.0
78,Bolivia,M,Secondary,3,0.0
148,Bolivia,M,Higher,4,0.0
148,Bolivia,M,No education,4,0.0
148,Bolivia,M,Primary,4,0.0
148,Bolivia,M,Secondary,4,0.0
218,Bolivia,M,Higher,5,0.0
218,Bolivia,M,No education,5,0.0
218,Bolivia,M,Primary,5,0.0
218,Bolivia,M,Secondary,5,0.0
288,Bolivia,M,Higher,6,0.0
288,Bolivia,M,No education,6,0.0
288,Bolivia,M,Primary,6,0.0
288,Bolivia,M,Secondary,6,0.0
9,Burkina Faso,F,Higher,1,1.4
9,Burkina Faso,F,Secondary,1,3.1
9,Burkina Faso,F,Primary,1,8.1
9,Burkina Faso,F,No education,1,11.2
9,Burkina Faso,M,Higher,1,5.7
9,Burkina Faso,M,Secondary,1,6.3
9,Burkina Faso,M,No education,1,7.6
9,Burkina Faso,M,Primary,1,8.3
359,Burkina Faso,F,Higher,2,6.3
359,Burkina Faso,F,No education,2,47.5
359,Burkina Faso,F,Primary,2,38.1
359,Burkina Faso,F,Secondary,2,26.6
79,Burkina Faso,F,Higher,3,2.0
79,Burkina Faso,F,No education,3,34.7
79,Burkina Faso,F,Primary,3,26.0
79,Burkina Faso,F,Secondary,3,14.1
149,Burkina Faso,F,Higher,4,0.3
149,Burkina Faso,F,No education,4,34.4
149,Burkina Faso,F,Primary,4,24.6
149,Burkina Faso,F,Secondary,4,13.1
219,Burkina Faso,F,Higher,5,3.8
219,Burkina Faso,F,No education,5,33.4
219,Burkina Faso,F,Primary,5,26.5
219,Burkina Faso,F,Secondary,5,18.1
289,Burkina Faso,F,Higher,6,0.0
289,Burkina Faso,F,No education,6,22.7
289,Burkina Faso,F,Primary,6,15.2
289,Burkina Faso,F,Secondary,6,6.8
359,Burkina Faso,M,Higher,2,15.0
359,Burkina Faso,M,No education,2,37.7
359,Burkina Faso,M,Primary,2,33.5
359,Burkina Faso,M,Secondary,2,25.6
79,Burkina Faso,M,Higher,3,3.7
79,Burkina Faso,M,No education,3,22.5
79,Burkina Faso,M,Primary,3,21.7
79,Burkina Faso,M,Secondary,3,12.4
149,Burkina Faso,M,Higher,4,2.8
149,Burkina Faso,M,No education,4,20.6
149,Burkina Faso,M,Primary,4,16.9
149,Burkina Faso,M,Secondary,4,11.1
219,Burkina Faso,M,Higher,5,9.8
219,Burkina Faso,M,No education,5,22.2
219,Burkina Faso,M,Primary,5,18.9
219,Burkina Faso,M,Secondary,5,15.8
289,Burkina Faso,M,Higher,6,0.7
289,Burkina Faso,M,No education,6,13.6
289,Burkina Faso,M,Primary,6,8.1
289,Burkina Faso,M,Secondary,6,6.7
10,Burundi,F,Higher,1,1.1
10,Burundi,F,Secondary,1,14.8
10,Burundi,F,Primary,1,23.9
10,Burundi,F,No education,1,25.3
10,Burundi,M,Higher,1,0.0
10,Burundi,M,Secondary,1,3.5
10,Burundi,M,No education,1,5.6
10,Burundi,M,Primary,1,5.9
360,Burundi,F,Higher,2,22.2
360,Burundi,F,No education,2,65.9
360,Burundi,F,Primary,2,63.9
360,Burundi,F,Secondary,2,53.9
80,Burundi,F,Higher,3,1.3
80,Burundi,F,No education,3,34.8
80,Burundi,F,Primary,3,32.3
80,Burundi,F,Secondary,3,20.8
150,Burundi,F,Higher,4,8.7
150,Burundi,F,No education,4,43.6
150,Burundi,F,Primary,4,40.9
150,Burundi,F,Secondary,4,31.3
220,Burundi,F,Higher,5,20.0
220,Burundi,F,No education,5,55.1
220,Burundi,F,Primary,5,53.7
220,Burundi,F,Secondary,5,45.0
290,Burundi,F,Higher,6,8.2
290,Burundi,F,No education,6,47.9
290,Burundi,F,Primary,6,44.3
290,Burundi,F,Secondary,6,29.9
360,Burundi,M,Higher,2,5.3
360,Burundi,M,No education,2,35.8
360,Burundi,M,Primary,2,38.6
360,Burundi,M,Secondary,2,31.2
80,Burundi,M,Higher,3,0.2
80,Burundi,M,No education,3,10.7
80,Burundi,M,Primary,3,12.7
80,Burundi,M,Secondary,3,6.7
150,Burundi,M,Higher,4,1.1
150,Burundi,M,No education,4,19.3
150,Burundi,M,Primary,4,18.9
150,Burundi,M,Secondary,4,14.1
220,Burundi,M,Higher,5,4.0
220,Burundi,M,No education,5,26.3
220,Burundi,M,Primary,5,28.9
220,Burundi,M,Secondary,5,23.6
290,Burundi,M,Higher,6,1.5
290,Burundi,M,No education,6,13.2
290,Burundi,M,Primary,6,14.8
290,Burundi,M,Secondary,6,12.6
11,Cambodia,F,Higher,1,1.1
11,Cambodia,F,Secondary,1,7.5
11,Cambodia,F,Primary,1,14.4
11,Cambodia,F,No education,1,17.6
11,Cambodia,M,Higher,1,0.0
11,Cambodia,M,No education,1,0.7
11,Cambodia,M,Secondary,1,2.0
11,Cambodia,M,Primary,1,2.2
361,Cambodia,F,Higher,2,18.5
361,Cambodia,F,No education,2,57.6
361,Cambodia,F,Primary,2,56.0
361,Cambodia,F,Secondary,2,42.8
81,Cambodia,F,Higher,3,6.2
81,Cambodia,F,No education,3,31.5
81,Cambodia,F,Primary,3,27.7
81,Cambodia,F,Secondary,3,18.4
151,Cambodia,F,Higher,4,7.6
151,Cambodia,F,No education,4,38.0
151,Cambodia,F,Primary,4,36.6
151,Cambodia,F,Secondary,4,24.9
221,Cambodia,F,Higher,5,15.5
221,Cambodia,F,No education,5,50.3
221,Cambodia,F,Primary,5,49.4
221,Cambodia,F,Secondary,5,37.4
291,Cambodia,F,Higher,6,0.8
291,Cambodia,F,No education,6,20.1
291,Cambodia,F,Primary,6,15.5
291,Cambodia,F,Secondary,6,8.0
361,Cambodia,M,Higher,2,4.9
361,Cambodia,M,No education,2,35.5
361,Cambodia,M,Primary,2,32.2
361,Cambodia,M,Secondary,2,22.6
81,Cambodia,M,Higher,3,0.7
81,Cambodia,M,No education,3,16.1
81,Cambodia,M,Primary,3,14.6
81,Cambodia,M,Secondary,3,9.1
151,Cambodia,M,Higher,4,1.3
151,Cambodia,M,No education,4,20.3
151,Cambodia,M,Primary,4,15.6
151,Cambodia,M,Secondary,4,10.4
221,Cambodia,M,Higher,5,3.1
221,Cambodia,M,No education,5,25.0
221,Cambodia,M,Primary,5,22.9
221,Cambodia,M,Secondary,5,17.6
291,Cambodia,M,Higher,6,0.7
291,Cambodia,M,No education,6,2.7
291,Cambodia,M,Primary,6,5.6
291,Cambodia,M,Secondary,6,3.0
12,Cameroon,F,Higher,1,0.9
12,Cameroon,F,Secondary,1,9.8
12,Cameroon,F,Primary,1,15.9
12,Cameroon,F,No education,1,20.9
12,Cameroon,M,Higher,1,2.4
12,Cameroon,M,Secondary,1,8.3
12,Cameroon,M,No education,1,9.5
12,Cameroon,M,Primary,1,11.8
362,Cameroon,F,Higher,2,13.7
362,Cameroon,F,No education,2,49.6
362,Cameroon,F,Primary,2,51.6
362,Cameroon,F,Secondary,2,45.1
82,Cameroon,F,Higher,3,3.2
82,Cameroon,F,No education,3,31.4
82,Cameroon,F,Primary,3,24.4
82,Cameroon,F,Secondary,3,14.9
152,Cameroon,F,Higher,4,2.8
152,Cameroon,F,No education,4,31.6
152,Cameroon,F,Primary,4,32.9
152,Cameroon,F,Secondary,4,21.9
222,Cameroon,F,Higher,5,11.4
222,Cameroon,F,No education,5,35.9
222,Cameroon,F,Primary,5,41.9
222,Cameroon,F,Secondary,5,37.9
292,Cameroon,F,Higher,6,1.3
292,Cameroon,F,No education,6,25.6
292,Cameroon,F,Primary,6,17.2
292,Cameroon,F,Secondary,6,7.5
362,Cameroon,M,Higher,2,23.6
362,Cameroon,M,No education,2,37.3
362,Cameroon,M,Primary,2,43.7
362,Cameroon,M,Secondary,2,38.6
82,Cameroon,M,Higher,3,7.3
82,Cameroon,M,No education,3,21.7
82,Cameroon,M,Primary,3,23.1
82,Cameroon,M,Secondary,3,15.5
152,Cameroon,M,Higher,4,8.7
152,Cameroon,M,No education,4,25.3
152,Cameroon,M,Primary,4,27.5
152,Cameroon,M,Secondary,4,19.0
222,Cameroon,M,Higher,5,17.5
222,Cameroon,M,No education,5,26.1
222,Cameroon,M,Primary,5,32.2
222,Cameroon,M,Secondary,5,29.3
292,Cameroon,M,Higher,6,1.7
292,Cameroon,M,No education,6,13.7
292,Cameroon,M,Primary,6,10.7
292,Cameroon,M,Secondary,6,5.9
13,Chad,F,Higher,1,24.4
13,Chad,F,No education,1,45.4
13,Chad,F,Secondary,1,51.9
13,Chad,F,Primary,1,56.2
13,Chad,M,Higher,1,12.4
13,Chad,M,No education,1,24.7
13,Chad,M,Secondary,1,28.8
13,Chad,M,Primary,1,31.9
363,Chad,F,Higher,2,60.1
363,Chad,F,No education,2,70.9
363,Chad,F,Primary,2,79.5
363,Chad,F,Secondary,2,76.7
83,Chad,F,Higher,3,38.8
83,Chad,F,No education,3,47.6
83,Chad,F,Primary,3,55.1
83,Chad,F,Secondary,3,51.8
153,Chad,F,Higher,4,37.1
153,Chad,F,No education,4,56.3
153,Chad,F,Primary,4,66.5
153,Chad,F,Secondary,4,60.3
223,Chad,F,Higher,5,43.1
223,Chad,F,No education,5,56.7
223,Chad,F,Primary,5,66.3
223,Chad,F,Secondary,5,64.0
293,Chad,F,Higher,6,21.8
293,Chad,F,No education,6,41.5
293,Chad,F,Primary,6,43.2
293,Chad,F,Secondary,6,33.6
363,Chad,M,Higher,2,36.6
363,Chad,M,No education,2,50.2
363,Chad,M,Primary,2,53.0
363,Chad,M,Secondary,2,50.6
83,Chad,M,Higher,3,10.1
83,Chad,M,No education,3,24.6
83,Chad,M,Primary,3,22.8
83,Chad,M,Secondary,3,20.8
153,Chad,M,Higher,4,17.7
153,Chad,M,No education,4,28.6
153,Chad,M,Primary,4,30.7
153,Chad,M,Secondary,4,26.9
223,Chad,M,Higher,5,27.6
223,Chad,M,No education,5,34.6
223,Chad,M,Primary,5,40.5
223,Chad,M,Secondary,5,37.9
293,Chad,M,Higher,6,9.3
293,Chad,M,No education,6,24.6
293,Chad,M,Primary,6,25.0
293,Chad,M,Secondary,6,23.5
14,Colombia,F,Higher,1,0.8
14,Colombia,F,Secondary,1,1.2
14,Colombia,F,Primary,1,1.7
14,Colombia,F,No education,1,1.8
14,Colombia,M,Higher,1,0.7
14,Colombia,M,Secondary,1,1.1
14,Colombia,M,Primary,1,1.9
14,Colombia,M,No education,1,2.8
364,Colombia,F,Higher,2,1.6
364,Colombia,F,No education,2,12.7
364,Colombia,F,Primary,2,5.7
364,Colombia,F,Secondary,2,3.1
84,Colombia,F,Higher,3,0.9
84,Colombia,F,No education,3,3.6
84,Colombia,F,Primary,3,1.8
84,Colombia,F,Secondary,3,1.3
154,Colombia,F,Higher,4,0.8
154,Colombia,F,No education,4,5.8
154,Colombia,F,Primary,4,1.8
154,Colombia,F,Secondary,4,1.3
224,Colombia,F,Higher,5,1.2
224,Colombia,F,No education,5,9.8
224,Colombia,F,Primary,5,4.4
224,Colombia,F,Secondary,5,2.5
294,Colombia,F,Higher,6,0.9
294,Colombia,F,No education,6,2.9
294,Colombia,F,Primary,6,1.4
294,Colombia,F,Secondary,6,1.1
364,Colombia,M,Higher,2,1.7
364,Colombia,M,No education,2,13.2
364,Colombia,M,Primary,2,7.5
364,Colombia,M,Secondary,2,4.1
84,Colombia,M,Higher,3,0.7
84,Colombia,M,No education,3,2.3
84,Colombia,M,Primary,3,2.3
84,Colombia,M,Secondary,3,1.5
154,Colombia,M,Higher,4,0.8
154,Colombia,M,No education,4,3.2
154,Colombia,M,Primary,4,3.0
154,Colombia,M,Secondary,4,1.2
224,Colombia,M,Higher,5,1.2
224,Colombia,M,No education,5,9.4
224,Colombia,M,Primary,5,5.4
224,Colombia,M,Secondary,5,2.9
294,Colombia,M,Higher,6,0.7
294,Colombia,M,No education,6,4.2
294,Colombia,M,Primary,6,2.1
294,Colombia,M,Secondary,6,1.3
15,Comoros,F,Higher,1,6.7
15,Comoros,F,Secondary,1,11.6
15,Comoros,F,Primary,1,13.7
15,Comoros,F,No education,1,15.3
15,Comoros,M,Higher,1,0.8
15,Comoros,M,Secondary,1,2.5
15,Comoros,M,Primary,1,3.8
15,Comoros,M,No education,1,4.9
365,Comoros,F,Higher,2,23.7
365,Comoros,F,No education,2,39.7
365,Comoros,F,Primary,2,41.8
365,Comoros,F,Secondary,2,40.7
85,Comoros,F,Higher,3,6.9
85,Comoros,F,No education,3,18.1
85,Comoros,F,Primary,3,15.3
85,Comoros,F,Secondary,3,16.1
155,Comoros,F,Higher,4,16.1
155,Comoros,F,No education,4,29.1
155,Comoros,F,Primary,4,32.5
155,Comoros,F,Secondary,4,28.7
225,Comoros,F,Higher,5,17.6
225,Comoros,F,No education,5,29.6
225,Comoros,F,Primary,5,33.1
225,Comoros,F,Secondary,5,31.2
295,Comoros,F,Higher,6,12.9
295,Comoros,F,No education,6,22.7
295,Comoros,F,Primary,6,22.7
295,Comoros,F,Secondary,6,18.3
365,Comoros,M,Higher,2,6.8
365,Comoros,M,No education,2,18.7
365,Comoros,M,Primary,2,18.1
365,Comoros,M,Secondary,2,19.1
85,Comoros,M,Higher,3,1.4
85,Comoros,M,No education,3,6.7
85,Comoros,M,Primary,3,7.1
85,Comoros,M,Secondary,3,8.0
155,Comoros,M,Higher,4,2.7
155,Comoros,M,No education,4,10.1
155,Comoros,M,Primary,4,6.8
