RecordID,Country,Gender,Marital Status,Question Type,Value
2,Albania,M,"Widowed, divorced, separated",1,1.6
352,Albania,F,Married or living together,2,7.9
352,Albania,F,Never married,2,4.3
352,Albania,F,"Widowed, divorced, separated",2,7.0
72,Albania,F,Married or living together,3,2.0
72,Albania,F,Never married,3,1.1
72,Albania,F,"Widowed, divorced, separated",3,3.4
142,Albania,F,Married or living together,4,4.6
142,Albania,F,Never married,4,1.7
142,Albania,F,"Widowed, divorced, separated",4,2.3
212,Albania,F,Married or living together,5,6.1
212,Albania,F,Never married,5,3.2
212,Albania,F,"Widowed, divorced, separated",5,5.1
282,Albania,F,Married or living together,6,1.0
282,Albania,F,Never married,6,0.5
282,Albania,F,"Widowed, divorced, separated",6,1.1
352,Albania,M,Married or living together,2,11.7
352,Albania,M,Never married,2,10.6
352,Albania,M,"Widowed, divorced, separated",2,29.7
72,Albania,M,Married or living together,3,4.1
72,Albania,M,Never married,3,3.8
72,Albania,M,"Widowed, divorced, separated",3,13.1
142,Albania,M,Married or living together,4,7.7
142,Albania,M,Never married,4,5.1
142,Albania,M,"Widowed, divorced, separated",4,16.7
212,Albania,M,Married or living together,5,8.5
212,Albania,M,Never married,5,7.2
212,Albania,M,"Widowed, divorced, separated",5,24.5
282,Albania,M,Married or living together,6,1.3
282,Albania,M,Never married,6,2.8
282,Albania,M,"Widowed, divorced, separated",6,4.6
3,Angola,F,Never married,1,9.8
3,Angola,F,Married or living together,1,10.8
3,Angola,F,"Widowed, divorced, separated",1,12.2
3,Angola,M,Married or living together,1,4.4
3,Angola,M,Never married,1,7.3
3,Angola,M,"Widowed, divorced, separated",1,9.3
353,Angola,F,Married or living together,2,27.2
353,Angola,F,Never married,2,21.1
353,Angola,F,"Widowed, divorced, separated",2,28.5
73,Angola,F,Married or living together,3,16.7
73,Angola,F,Never married,3,12.3
73,Angola,F,"Widowed, divorced, separated",3,17.3
143,Angola,F,Married or living together,4,15.9
143,Angola,F,Never married,4,11.9
143,Angola,F,"Widowed, divorced, separated",4,15.4
213,Angola,F,Married or living together,5,17.2
213,Angola,F,Never married,5,14.1
213,Angola,F,"Widowed, divorced, separated",5,19.0
283,Angola,F,Married or living together,6,12.5
283,Angola,F,Never married,6,8.6
283,Angola,F,"Widowed, divorced, separated",6,16.2
353,Angola,M,Married or living together,2,19.1
353,Angola,M,Never married,2,20.6
353,Angola,M,"Widowed, divorced, separated",2,25.1
73,Angola,M,Married or living together,3,10.5
73,Angola,M,Never married,3,10.6
73,Angola,M,"Widowed, divorced, separated",3,17.4
143,Angola,M,Married or living together,4,8.1
143,Angola,M,Never married,4,8.0
143,Angola,M,"Widowed, divorced, separated",4,12.8
213,Angola,M,Married or living together,5,11.7
213,Angola,M,Never married,5,11.2
213,Angola,M,"Widowed, divorced, separated",5,16.7
283,Angola,M,Married or living together,6,5.1
283,Angola,M,Never married,6,5.8
283,Angola,M,"Widowed, divorced, separated",6,9.8
4,Armenia,F,Never married,1,0.3
4,Armenia,F,"Widowed, divorced, separated",1,0.3
4,Armenia,F,Married or living together,1,0.4
4,Armenia,M,"Widowed, divorced, separated",1,0.0
4,Armenia,M,Married or living together,1,0.4
4,Armenia,M,Never married,1,1.0
354,Armenia,F,Married or living together,2,11.4
354,Armenia,F,Never married,2,8.4
354,Armenia,F,"Widowed, divorced, separated",2,5.3
74,Armenia,F,Married or living together,3,7.1
74,Armenia,F,Never married,3,4.7
74,Armenia,F,"Widowed, divorced, separated",3,3.2
144,Armenia,F,Married or living together,4,5.7
144,Armenia,F,Never married,4,5.0
144,Armenia,F,"Widowed, divorced, separated",4,2.5
214,Armenia,F,Married or living together,5,9.9
214,Armenia,F,Never married,5,6.8
214,Armenia,F,"Widowed, divorced, separated",5,3.8
284,Armenia,F,Married or living together,6,0.9
284,Armenia,F,Never married,6,0.5
284,Armenia,F,"Widowed, divorced, separated",6,0.8
354,Armenia,M,Married or living together,2,21.3
354,Armenia,M,Never married,2,23.2
354,Armenia,M,"Widowed, divorced, separated",2,42.3
74,Armenia,M,Married or living together,3,15.8
74,Armenia,M,Never married,3,16.0
74,Armenia,M,"Widowed, divorced, separated",3,27.5
144,Armenia,M,Married or living together,4,10.3
144,Armenia,M,Never married,4,12.9
144,Armenia,M,"Widowed, divorced, separated",4,22.5
214,Armenia,M,Married or living together,5,16.5
214,Armenia,M,Never married,5,17.2
214,Armenia,M,"Widowed, divorced, separated",5,33.7
284,Armenia,M,Married or living together,6,1.5
284,Armenia,M,Never married,6,1.4
284,Armenia,M,"Widowed, divorced, separated",6,9.1
5,Azerbaijan,F,"Widowed, divorced, separated",1,8.9
5,Azerbaijan,F,Never married,1,9.9
5,Azerbaijan,F,Married or living together,1,13.6
5,Azerbaijan,M,"Widowed, divorced, separated",1,3.8
5,Azerbaijan,M,Married or living together,1,5.6
5,Azerbaijan,M,Never married,1,9.3
355,Azerbaijan,F,Married or living together,2,54.7
355,Azerbaijan,F,Never married,2,39.0
355,Azerbaijan,F,"Widowed, divorced, separated",2,41.6
75,Azerbaijan,F,Married or living together,3,35.1
75,Azerbaijan,F,Never married,3,24.6
75,Azerbaijan,F,"Widowed, divorced, separated",3,26.6
145,Azerbaijan,F,Married or living together,4,48.7
145,Azerbaijan,F,Never married,4,31.4
145,Azerbaijan,F,"Widowed, divorced, separated",4,36.2
215,Azerbaijan,F,Married or living together,5,38.8
215,Azerbaijan,F,Never married,5,27.3
215,Azerbaijan,F,"Widowed, divorced, separated",5,29.0
285,Azerbaijan,F,Married or living together,6,17.1
285,Azerbaijan,F,Never married,6,8.9
285,Azerbaijan,F,"Widowed, divorced, separated",6,11.3
355,Azerbaijan,M,Married or living together,2,54.8
355,Azerbaijan,M,Never married,2,63.9
355,Azerbaijan,M,"Widowed, divorced, separated",2,62.5
75,Azerbaijan,M,Married or living together,3,48.7
75,Azerbaijan,M,Never married,3,56.2
75,Azerbaijan,M,"Widowed, divorced, separated",3,59.2
145,Azerbaijan,M,Married or living together,4,36.8
145,Azerbaijan,M,Never married,4,45.5
145,Azerbaijan,M,"Widowed, divorced, separated",4,32.6
215,Azerbaijan,M,Married or living together,5,31.7
215,Azerbaijan,M,Never married,5,39.3
215,Azerbaijan,M,"Widowed, divorced, separated",5,34.0
285,Azerbaijan,M,Married or living together,6,10.1
285,Azerbaijan,M,Never married,6,14.1
285,Azerbaijan,M,"Widowed, divorced, separated",6,10.9
6,Bangladesh,F,Never married,1,0.0
6,Bangladesh,F,Married or living together,1,4.2
6,Bangladesh,F,"Widowed, divorced, separated",1,6.7
6,Bangladesh,M,Married or living together,1,0.0
6,Bangladesh,M,Never married,1,0.0
6,Bangladesh,M,"Widowed, divorced, separated",1,0.0
356,Bangladesh,F,Married or living together,2,28.1
356,Bangladesh,F,Never married,2,0.0
356,Bangladesh,F,"Widowed, divorced, separated",2,32.2
76,Bangladesh,F,Married or living together,3,19.8
76,Bangladesh,F,Never married,3,0.0
76,Bangladesh,F,"Widowed, divorced, separated",3,21.8
146,Bangladesh,F,Married or living together,4,14.1
146,Bangladesh,F,Never married,4,0.0
146,Bangladesh,F,"Widowed, divorced, separated",4,20.3
216,Bangladesh,F,Married or living together,5,14.7
216,Bangladesh,F,Never married,5,0.0
216,Bangladesh,F,"Widowed, divorced, separated",5,18.8
286,Bangladesh,F,Married or living together,6,7.0
286,Bangladesh,F,Never married,6,0.0
286,Bangladesh,F,"Widowed, divorced, separated",6,10.9
356,Bangladesh,M,Married or living together,2,0.0
356,Bangladesh,M,Never married,2,0.0
356,Bangladesh,M,"Widowed, divorced, separated",2,0.0
76,Bangladesh,M,Married or living together,3,0.0
76,Bangladesh,M,Never married,3,0.0
76,Bangladesh,M,"Widowed, divorced, separated",3,0.0
146,Bangladesh,M,Married or living together,4,0.0
146,Bangladesh,M,Never married,4,0.0
146,Bangladesh,M,"Widowed, divorced, separated",4,0.0
216,Bangladesh,M,Married or living together,5,0.0
216,Bangladesh,M,Never married,5,0.0
216,Bangladesh,M,"Widowed, divorced, separated",5,0.0
286,Bangladesh,M,Married or living together,6,0.0
286,Bangladesh,M,Never married,6,0.0
286,Bangladesh,M,"Widowed, divorced, separated",6,0.0
7,Benin,F,Never married,1,11.8
7,Benin,F,Married or living together,1,14.6
7,Benin,F,"Widowed, divorced, separated",1,15.1
7,Benin,M,Married or living together,1,5.9
7,Benin,M,"Widowed, divorced, separated",1,7.0
7,Benin,M,Never married,1,8.0
357,Benin,F,Married or living together,2,34.0
357,Benin,F,Never married,2,25.7
357,Benin,F,"Widowed, divorced, separated",2,31.3
77,Benin,F,Married or living together,3,22.6
77,Benin,F,Never married,3,16.1
77,Benin,F,"Widowed, divorced, separated",3,18.5
147,Benin,F,Married or living together,4,23.4
147,Benin,F,Never married,4,15.3
147,Benin,F,"Widowed, divorced, separated",4,20.3
217,Benin,F,Married or living together,5,24.7
217,Benin,F,Never married,5,17.3
217,Benin,F,"Widowed, divorced, separated",5,19.7
287,Benin,F,Married or living together,6,14.2
287,Benin,F,Never married,6,8.4
287,Benin,F,"Widowed, divorced, separated",6,13.1
357,Benin,M,Married or living together,2,14.5
357,Benin,M,Never married,2,16.9
357,Benin,M,"Widowed, divorced, separated",2,15.0
77,Benin,M,Married or living together,3,8.6
77,Benin,M,Never married,3,11.0
77,Benin,M,"Widowed, divorced, separated",3,12.0
147,Benin,M,Married or living together,4,7.6
147,Benin,M,Never married,4,10.3
147,Benin,M,"Widowed, divorced, separated",4,10.1
217,Benin,M,Married or living together,5,8.1
217,Benin,M,Never married,5,11.0
217,Benin,M,"Widowed, divorced, separated",5,8.8
287,Benin,M,Married or living together,6,6.3
287,Benin,M,Never married,6,7.8
287,Benin,M,"Widowed, divorced, separated",6,7.6
8,Bolivia,F,Never married,1,2.9
8,Bolivia,F,"Widowed, divorced, separated",1,2.9
8,Bolivia,F,Married or living together,1,3.5
8,Bolivia,M,Married or living together,1,0.0
8,Bolivia,M,Never married,1,0.0
8,Bolivia,M,"Widowed, divorced, separated",1,0.0
358,Bolivia,F,Married or living together,2,16.7
358,Bolivia,F,Never married,2,14.9
358,Bolivia,F,"Widowed, divorced, separated",2,15.9
78,Bolivia,F,Married or living together,3,5.6
78,Bolivia,F,Never married,3,4.8
78,Bolivia,F,"Widowed, divorced, separated",3,4.5
148,Bolivia,F,Married or living together,4,6.6
148,Bolivia,F,Never married,4,4.6
148,Bolivia,F,"Widowed, divorced, separated",4,6.4
218,Bolivia,F,Married or living together,5,12.7
218,Bolivia,F,Never married,5,11.5
218,Bolivia,F,"Widowed, divorced, separated",5,12.3
288,Bolivia,F,Married or living together,6,2.5
288,Bolivia,F,Never married,6,1.7
288,Bolivia,F,"Widowed, divorced, separated",6,2.5
358,Bolivia,M,Married or living together,2,0.0
358,Bolivia,M,Never married,2,0.0
358,Bolivia,M,"Widowed, divorced, separated",2,0.0
78,Bolivia,M,Married or living together,3,0.0
78,Bolivia,M,Never married,3,0.0
78,Bolivia,M,"Widowed, divorced, separated",3,0.0
148,Bolivia,M,Married or living together,4,0.0
148,Bolivia,M,Never married,4,0.0
148,Bolivia,M,"Widowed, divorced, separated",4,0.0
218,Bolivia,M,Married or living together,5,0.0
218,Bolivia,M,Never married,5,0.0
218,Bolivia,M,"Widowed, divorced, separated",5,0.0
288,Bolivia,M,Married or living together,6,0.0
288,Bolivia,M,Never married,6,0.0
288,Bolivia,M,"Widowed, divorced, separated",6,0.0
9,Burkina Faso,F,Never married,1,7.4
9,Burkina Faso,F,"Widowed, divorced, separated",1,8.3
9,Burkina Faso,F,Married or living together,1,10.4
9,Burkina Faso,M,Married or living together,1,6.4
9,Burkina Faso,M,Never married,1,9.0
9,Burkina Faso,M,"Widowed, divorced, separated",1,9.3
359,Burkina Faso,F,Married or living together,2,46.0
359,Burkina Faso,F,Never married,2,33.3
359,Burkina Faso,F,"Widowed, divorced, separated",2,35.2
79,Burkina Faso,F,Married or living together,3,33.1
79,Burkina Faso,F,Never married,3,21.9
79,Burkina Faso,F,"Widowed, divorced, separated",3,22.9
149,Burkina Faso,F,Married or living together,4,32.6
149,Burkina Faso,F,Never married,4,20.4
149,Burkina Faso,F,"Widowed, divorced, separated",4,26.3
219,Burkina Faso,F,Married or living together,5,32.3
219,Burkina Faso,F,Never married,5,22.5
219,Burkina Faso,F,"Widowed, divorced, separated",5,27.1
289,Burkina Faso,F,Married or living together,6,21.5
289,Burkina Faso,F,Never married,6,12.4
289,Burkina Faso,F,"Widowed, divorced, separated",6,13.6
359,Burkina Faso,M,Married or living together,2,32.7
359,Burkina Faso,M,Never married,2,35.9
359,Burkina Faso,M,"Widowed, divorced, separated",2,39.5
79,Burkina Faso,M,Married or living together,3,19.7
79,Burkina Faso,M,Never married,3,20.1
79,Burkina Faso,M,"Widowed, divorced, separated",3,29.1
149,Burkina Faso,M,Married or living together,4,17.0
149,Burkina Faso,M,Never married,4,18.5
149,Burkina Faso,M,"Widowed, divorced, separated",4,23.7
219,Burkina Faso,M,Married or living together,5,19.3
219,Burkina Faso,M,Never married,5,21.0
219,Burkina Faso,M,"Widowed, divorced, separated",5,25.4
289,Burkina Faso,M,Married or living together,6,10.1
289,Burkina Faso,M,Never married,6,12.1
289,Burkina Faso,M,"Widowed, divorced, separated",6,11.6
10,Burundi,F,Married or living together,1,20.6
10,Burundi,F,Never married,1,22.2
10,Burundi,F,"Widowed, divorced, separated",1,30.4
10,Burundi,M,Married or living together,1,3.6
10,Burundi,M,"Widowed, divorced, separated",1,5.6
10,Burundi,M,Never married,1,6.7
360,Burundi,F,Married or living together,2,61.2
360,Burundi,F,Never married,2,60.9
360,Burundi,F,"Widowed, divorced, separated",2,69.1
80,Burundi,F,Married or living together,3,29.6
80,Burundi,F,Never married,3,29.2
80,Burundi,F,"Widowed, divorced, separated",3,36.7
150,Burundi,F,Married or living together,4,38.4
150,Burundi,F,Never married,4,38.4
150,Burundi,F,"Widowed, divorced, separated",4,47.5
220,Burundi,F,Married or living together,5,50.5
220,Burundi,F,Never married,5,51.7
220,Burundi,F,"Widowed, divorced, separated",5,59.9
290,Burundi,F,Married or living together,6,42.3
290,Burundi,F,Never married,6,38.4
290,Burundi,F,"Widowed, divorced, separated",6,52.2
360,Burundi,M,Married or living together,2,29.2
360,Burundi,M,Never married,2,41.5
360,Burundi,M,"Widowed, divorced, separated",2,45.9
80,Burundi,M,Married or living together,3,8.6
80,Burundi,M,Never married,3,12.0
80,Burundi,M,"Widowed, divorced, separated",3,18.0
150,Burundi,M,Married or living together,4,14.7
150,Burundi,M,Never married,4,19.6
150,Burundi,M,"Widowed, divorced, separated",4,32.9
220,Burundi,M,Married or living together,5,21.7
220,Burundi,M,Never married,5,31.1
220,Burundi,M,"Widowed, divorced, separated",5,34.0
290,Burundi,M,Married or living together,6,9.8
290,Burundi,M,Never married,6,17.6
290,Burundi,M,"Widowed, divorced, separated",6,22.8
11,Cambodia,F,Never married,1,9.3
11,Cambodia,F,Married or living together,1,12.4
11,Cambodia,F,"Widowed, divorced, separated",1,13.9
11,Cambodia,M,Married or living together,1,1.7
11,Cambodia,M,Never married,1,2.0
11,Cambodia,M,"Widowed, divorced, separated",1,4.0
361,Cambodia,F,Married or living together,2,53.3
361,Cambodia,F,Never married,2,40.6
361,Cambodia,F,"Widowed, divorced, separated",2,49.5
81,Cambodia,F,Married or living together,3,26.0
81,Cambodia,F,Never married,3,18.0
81,Cambodia,F,"Widowed, divorced, separated",3,24.9
151,Cambodia,F,Married or living together,4,35.1
151,Cambodia,F,Never married,4,21.7
151,Cambodia,F,"Widowed, divorced, separated",4,29.7
221,Cambodia,F,Married or living together,5,47.2
221,Cambodia,F,Never married,5,34.9
221,Cambodia,F,"Widowed, divorced, separated",5,42.1
291,Cambodia,F,Married or living together,6,14.1
291,Cambodia,F,Never married,6,8.3
291,Cambodia,F,"Widowed, divorced, separated",6,16.0
361,Cambodia,M,Married or living together,2,27.0
361,Cambodia,M,Never married,2,23.8
361,Cambodia,M,"Widowed, divorced, separated",2,29.7
81,Cambodia,M,Married or living together,3,11.5
81,Cambodia,M,Never married,3,10.3
81,Cambodia,M,"Widowed, divorced, separated",3,15.6
151,Cambodia,M,Married or living together,4,13.8
151,Cambodia,M,Never married,4,9.9
151,Cambodia,M,"Widowed, divorced, separated",4,12.2
221,Cambodia,M,Married or living together,5,20.3
221,Cambodia,M,Never married,5,16.5
221,Cambodia,M,"Widowed, divorced, separated",5,22.8
291,Cambodia,M,Married or living together,6,3.7
291,Cambodia,M,Never married,6,4.0
291,Cambodia,M,"Widowed, divorced, separated",6,7.2
12,Cameroon,F,Never married,1,11.3
12,Cameroon,F,"Widowed, divorced, separated",1,12.5
12,Cameroon,F,Married or living together,1,14.8
12,Cameroon,M,Married or living together,1,8.3
12,Cameroon,M,Never married,1,9.5
12,Cameroon,M,"Widowed, divorced, separated",1,10.7
362,Cameroon,F,Married or living together,2,47.5
362,Cameroon,F,Never married,2,44.6
362,Cameroon,F,"Widowed, divorced, separated",2,44.5
82,Cameroon,F,Married or living together,3,23.1
82,Cameroon,F,Never married,3,15.9
82,Cameroon,F,"Widowed, divorced, separated",3,19.1
152,Cameroon,F,Married or living together,4,28.8
152,Cameroon,F,Never married,4,21.5
152,Cameroon,F,"Widowed, divorced, separated",4,25.9
222,Cameroon,F,Married or living together,5,37.5
222,Cameroon,F,Never married,5,37.3
222,Cameroon,F,"Widowed, divorced, separated",5,37.2
292,Cameroon,F,Married or living together,6,16.8
292,Cameroon,F,Never married,6,8.5
292,Cameroon,F,"Widowed, divorced, separated",6,12.2
362,Cameroon,M,Married or living together,2,36.7
362,Cameroon,M,Never married,2,40.5
362,Cameroon,M,"Widowed, divorced, separated",2,40.0
82,Cameroon,M,Married or living together,3,17.3
82,Cameroon,M,Never married,3,17.9
82,Cameroon,M,"Widowed, divorced, separated",3,18.5
152,Cameroon,M,Married or living together,4,21.8
152,Cameroon,M,Never married,4,20.4
152,Cameroon,M,"Widowed, divorced, separated",4,25.4
222,Cameroon,M,Married or living together,5,27.4
222,Cameroon,M,Never married,5,30.1
222,Cameroon,M,"Widowed, divorced, separated",5,30.7
292,Cameroon,M,Married or living together,6,7.4
292,Cameroon,M,Never married,6,7.8
292,Cameroon,M,"Widowed, divorced, separated",6,10.1
13,Chad,F,Never married,1,40.9
13,Chad,F,"Widowed, divorced, separated",1,45.9
13,Chad,F,Married or living together,1,50.5
13,Chad,M,Married or living together,1,26.0
13,Chad,M,Never married,1,28.8
13,Chad,M,"Widowed, divorced, separated",1,38.7
363,Chad,F,Married or living together,2,76.0
363,Chad,F,Never married,2,63.7
363,Chad,F,"Widowed, divorced, separated",2,71.0
83,Chad,F,Married or living together,3,52.1
83,Chad,F,Never married,3,39.5
83,Chad,F,"Widowed, divorced, separated",3,49.3
153,Chad,F,Married or living together,4,62.1
153,Chad,F,Never married,4,46.3
153,Chad,F,"Widowed, divorced, separated",4,56.9
223,Chad,F,Married or living together,5,62.1
223,Chad,F,Never married,5,49.6
223,Chad,F,"Widowed, divorced, separated",5,58.8
293,Chad,F,Married or living together,6,43.7
293,Chad,F,Never married,6,26.5
293,Chad,F,"Widowed, divorced, separated",6,40.8
363,Chad,M,Married or living together,2,48.4
363,Chad,M,Never married,2,53.1
363,Chad,M,"Widowed, divorced, separated",2,55.3
83,Chad,M,Married or living together,3,21.0
83,Chad,M,Never married,3,23.8
83,Chad,M,"Widowed, divorced, separated",3,26.8
153,Chad,M,Married or living together,4,26.7
153,Chad,M,Never married,4,29.8
153,Chad,M,"Widowed, divorced, separated",4,35.2
223,Chad,M,Married or living together,5,35.6
223,Chad,M,Never married,5,38.8
223,Chad,M,"Widowed, divorced, separated",5,39.2
293,Chad,M,Married or living together,6,22.3
293,Chad,M,Never married,6,25.2
293,Chad,M,"Widowed, divorced, separated",6,32.6
14,Colombia,F,Married or living together,1,1.1
14,Colombia,F,Never married,1,1.2
14,Colombia,F,"Widowed, divorced, separated",1,1.3
14,Colombia,M,Married or living together,1,1.1
14,Colombia,M,"Widowed, divorced, separated",1,1.2
14,Colombia,M,Never married,1,1.3
364,Colombia,F,Married or living together,2,3.3
364,Colombia,F,Never married,2,2.8
364,Colombia,F,"Widowed, divorced, separated",2,3.0
84,Colombia,F,Married or living together,3,1.2
84,Colombia,F,Never married,3,1.3
84,Colombia,F,"Widowed, divorced, separated",3,1.4
154,Colombia,F,Married or living together,4,1.3
154,Colombia,F,Never married,4,1.2
154,Colombia,F,"Widowed, divorced, separated",4,1.3
224,Colombia,F,Married or living together,5,2.7
224,Colombia,F,Never married,5,1.9
224,Colombia,F,"Widowed, divorced, separated",5,2.4
294,Colombia,F,Married or living together,6,1.0
294,Colombia,F,Never married,6,1.2
294,Colombia,F,"Widowed, divorced, separated",6,1.3
364,Colombia,M,Married or living together,2,4.0
364,Colombia,M,Never married,2,4.3
364,Colombia,M,"Widowed, divorced, separated",2,4.3
84,Colombia,M,Married or living together,3,1.3
84,Colombia,M,Never married,3,1.5
84,Colombia,M,"Widowed, divorced, separated",3,1.2
154,Colombia,M,Married or living together,4,1.4
154,Colombia,M,Never married,4,1.4
154,Colombia,M,"Widowed, divorced, separated",4,1.5
224,Colombia,M,Married or living together,5,3.0
224,Colombia,M,Never married,5,2.9
224,Colombia,M,"Widowed, divorced, separated",5,3.3
294,Colombia,M,Married or living together,6,1.2
294,Colombia,M,Never married,6,1.4
294,Colombia,M,"Widowed, divorced, separated",6,1.2
15,Comoros,F,"Widowed, divorced, separated",1,11.1
15,Comoros,F,Married or living together,1,12.2
15,Comoros,F,Never married,1,14.0
15,Comoros,M,Married or living together,1,2.2
15,Comoros,M,"Widowed, divorced, separated",1,3.6
15,Comoros,M,Never married,1,4.1
365,Comoros,F,Married or living together,2,38.7
365,Comoros,F,Never married,2,40.5
365,Comoros,F,"Widowed, divorced, separated",2,34.1
85,Comoros,F,Married or living together,3,15.0
85,Comoros,F,Never married,3,17.2
85,Comoros,F,"Widowed, divorced, separated",3,14.3
155,Comoros,F,Married or living together,4,28.1
155,Comoros,F,Never married,4,29.1
155,Comoros,F,"Widowed, divorced, separated",4,27.1
225,Comoros,F,Married or living together,5,29.2
225,Comoros,F,Never married,5,31.2
225,Comoros,F,"Widowed, divorced, separated",5,26.9
295,Comoros,F,Married or living together,6,20.6
295,Comoros,F,Never married,6,19.3
295,Comoros,F,"Widowed, divorced, separated",6,17.8
365,Comoros,M,Married or living together,2,10.5
365,Comoros,M,Never married,2,25.4
365,Comoros,M,"Widowed, divorced, separated",2,20.3
85,Comoros,M,Married or living together,3,4.0
85,Comoros,M,Never married,3,10.5
85,Comoros,M,"Widowed, divorced, separated",3,4.3
155,Comoros,M,Married or living together,4,4.2
155,Comoros,M,Never married,4,10.7
155,Comoros,M,"Widowed, divorced, separated",4,4.8
225,Comoros,M,Married or living together,5,5.6
225,Comoros,M,Never married,5,10.9
225,Comoros,M,"Widowed, divorced, separated",5,7.7
295,Comoros,M,Married or living together,6,4.8
295,Comoros,M,Never married,6,11.7
295,Comoros,M,"Widowed, divorced, separated",6,11.0
16,Congo,F,Married or living together,1,0.0
16,Congo,F,Never married,1,0.0
16,Congo,F,"Widowed, divorced, separated",1,0.0
16,Congo,M,Married or living together,1,0.0
16,Congo,M,Never married,1,0.0
16,Congo,M,"Widowed, divorced, separated",1,0.0
366,Congo,F,Married or living together,2,60.6
366,Congo,F,Never married,2,60.5
366,Congo,F,"Widowed, divorced, separated",2,61.0
86,Congo,F,Married or living together,3,0.0
86,Congo,F,Never married,3,0.0
86,Congo,F,"Widowed, divorced, separated",3,0.0
156,Congo,F,Married or living together,4,41.1
156,Congo,F,Never married,4,39.2
156,Congo,F,"Widowed, divorced, separated",4,42.7
226,Congo,F,Married or living together,5,46.6
226,Congo,F,Never married,5,47.7
226,Congo,F,"Widowed, divorced, separated",5,45.8
296,Congo,F,Married or living together,6,28.2
296,Congo,F,Never married,6,20.7
296,Congo,F,"Widowed, divorced, separated",6,28.5
366,Congo,M,Married or living together,2,40.0
366,Congo,M,Never married,2,46.1
366,Congo,M,"Widowed, divorced, separated",2,42.3
86,Congo,M,Married or living together,3,0.0
86,Congo,M,Never married,3,0.0
86,Congo,M,"Widowed, divorced, separated",3,0.0
156,Congo,M,Married or living together,4,22.8
156,Congo,M,Never married,4,21.4
156,Congo,M,"Widowed, divorced, separated",4,23.2
226,Congo,M,Married or living together,5,28.7
226,Congo,M,Never married,5,33.0
226,Congo,M,"Widowed, divorced, separated",5,35.8
296,Congo,M,Married or living together,6,11.7
296,Congo,M,Never married,6,14.8
296,Congo,M,"Widowed, divorced, separated",6,12.9
17,Congo Democratic Republic,F,Never married,1,23.5
17,Congo Democratic Republic,F,"Widowed, divorced, separated",1,24.5
17,Congo Democratic Republic,F,Married or living together,1,24.7
17,Congo Democratic Republic,M,Married or living together,1,12.3
17,Congo Democratic Republic,M,"Widowed, divorced, separated",1,14.8
17,Congo Democratic Republic,M,Never married,1,18.8
367,Congo Democratic Republic,F,Married or living together,2,76.1
367,Congo Democratic Republic,F,Never married,2,72.1
367,Congo Democratic Republic,F,"Widowed, divorced, separated",2,72.7
87,Congo Democratic Republic,F,Married or living together,3,59.4
87,Congo Democratic Republic,F,Never married,3,54.5
87,Congo Democratic Republic,F,"Widowed, divorced, separated",3,54.9
157,Congo Democratic Republic,F,Married or living together,4,51.2
157,Congo Democratic Republic,F,Never married,4,44.4
157,Congo Democratic Republic,F,"Widowed, divorced, separated",4,47.4
227,Congo Democratic Republic,F,Married or living together,5,51.9
227,Congo Democratic Republic,F,Never married,5,50.5
227,Congo Democratic Republic,F,"Widowed, divorced, separated",5,50.9
297,Congo Democratic Republic,F,Married or living together,6,47.0
297,Congo Democratic Republic,F,Never married,6,33.6
297,Congo Democratic Republic,F,"Widowed, divorced, separated",6,46.5
